PLAYER,POSITION,TEAM,SALARY,AGE
Danilo Gallinari,PF,ATL,19.5,32
Bogdan Bogdanovic,SG,ATL,18.0,28
Clint Capela,C,ATL,16.0,26
Tony Snell,SG,ATL,12.178571,28
Louis Williams,SG,ATL,8.0,33
De'Andre Hunter,SF,ATL,7.422,22
Trae Young,PG,ATL,6.5718,22
Onyeka Okongwu,PF,ATL,5.81364,19
Kris Dunn,PG,ATL,4.767,26
Cam Reddish,SF,ATL,4.458,21
John Collins,PF,ATL,4.137302,23
Kevin Huerter,SG,ATL,2.76192,22
Solomon Hill,SF,ATL,2.174318,29
Brandon Goodwin,PG,ATL,1.701593,24
Bruno Fernando,PF,ATL,1.517981,22
James Harden,SG,BKN,41.25492,31
Kevin Durant,SF,BKN,39.05895,32
Kyrie Irving,PG,BKN,33.3291,28
Joe Harris,SG,BKN,16.071429,29
Spencer Dinwiddie,PG,BKN,11.454048,27
DeAndre Jordan,C,BKN,10.375678,32
Jeff Green,PF,BKN,2.564753,34
Landry Shamet,PG,BKN,2.09004,23
Tyler Johnson,SG,BKN,2.028594,28
Timothe Luwawu-Cabarrot,SG,BKN,1.824003,25
Jr. Bruce Brown Jr.,SG,BKN,1.663861,24
Nicolas Claxton,PF,BKN,1.517981,21
Blake Griffin,PF,BKN,1.229676,31
Alize Johnson,PF,BKN,0.399591,24
Iman Shumpert,SG,BKN,0.159698,30
Andre Roberson,SG,BKN,0.138945,28
Alize Johnson,PF,BKN,0.110998,24
Alize Johnson,PF,BKN,0.110998,24
Tyler Cook,PF,BKN,0.09902,23
Mike James,PG,BKN,0.09902,30
Mike James,PG,BKN,0.09902,30
Mike James,PG,BKN,0.039608,30
Kemba Walker,PG,BOS,34.3791,30
Jaylen Brown,SG,BOS,22.991071,23
Evan Fournier,SG,BOS,17.0,27
Marcus Smart,PG,BOS,12.946428,26
Jayson Tatum,PF,BOS,9.89712,22
Tristan Thompson,C,BOS,9.258,29
Romeo Langford,SG,BOS,3.6312,20
Aaron Nesmith,SF,BOS,3.4584,20
Grant Williams,PF,BOS,2.49876,21
Luke Kornet,C,BOS,2.25,25
Payton Pritchard,PG,BOS,2.0358,22
III Robert Williams III,C,BOS,2.02992,22
Semi Ojeleye,PF,BOS,1.75295,25
Carsen Edwards,PG,BOS,1.517981,22
Jabari Parker,PF,BOS,0.430729,25
Gordon Hayward,SF,CHA,28.5,30
Terry Rozier,PG,CHA,18.9,26
Cody Zeller,C,CHA,15.41573,27
LaMelo Ball,PG,CHA,7.83996,19
Malik Monk,SG,CHA,5.345687,22
PJ Washington,PF,CHA,4.0236,22
Miles Bridges,SF,CHA,3.93432,22
Bismack Biyombo,C,CHA,3.5,28
Brad Wanamaker,PG,CHA,2.25,31
Devonte' Graham,PG,CHA,1.663861,25
Caleb Martin,SF,CHA,1.517981,25
Jalen McDaniels,PF,CHA,1.517981,22
Cody Martin,SF,CHA,1.517981,25
Jr. Vernon Carey Jr.,C,CHA,1.35,19
Nick Richards,C,CHA,1.0,22
Nikola Vucevic,C,CHI,26.0,29
Zach LaVine,SG,CHI,19.5,25
Thaddeus Young,PF,CHI,13.545,32
Tomas Satoransky,SG,CHI,10.0,28
Al-Farouq Aminu,PF,CHI,9.7209,30
Cristiano Felicio,PF,CHI,7.52902,28
Patrick Williams,SF,CHI,7.06836,19
Lauri Markkanen,PF,CHI,6.731508,23
Coby White,PG,CHI,5.57268,20
Daniel Theis,C,CHI,5.0,28
Garrett Temple,SG,CHI,4.767,34
Denzel Valentine,SG,CHI,4.6428,26
Jr. Troy Brown Jr.,SF,CHI,3.37284,21
Ryan Arcidiacono,PG,CHI,3.0,26
Javonte Green,SG,CHI,1.517981,27
Kevin Love,PF,CLE,31.258256,32
Taurean Prince,PF,CLE,12.25,26
Jr. Larry Nance Jr.,PF,CLE,11.709091,27
Cedi Osman,SF,CLE,8.84058,25
Darius Garland,PG,CLE,6.72072,20
Isaac Okoro,SG,CLE,6.40092,19
Collin Sexton,PG,CLE,4.99188,21
Jarrett Allen,C,CLE,3.909902,22
Matthew Dellavedova,PG,CLE,2.174318,30
Dylan Windler,SG,CLE,2.13744,24
Damyean Dotson,SG,CLE,2.0,26
Isaiah Hartenstein,C,CLE,1.620564,22
Dean Wade,PF,CLE,1.517981,23
Lamar Stevens,PF,CLE,0.652366,23
Anderson Varejao,PF,CLE,0.175668,38
Mfiondu Kabengele,PF,CLE,0.158433,23
Quinn Cook,PG,CLE,0.118983,27
Quinn Cook,PG,CLE,0.118983,27
Yogi Ferrell,PG,CLE,0.118983,27
Mfiondu Kabengele,PF,CLE,0.09902,23
Mfiondu Kabengele,PF,CLE,0.09902,23
Anderson Varejao,PF,CLE,0.0527,38
Kristaps Porzingis,PF,DAL,29.4678,25
Jr. Tim Hardaway Jr.,SG,DAL,18.975,28
J.J. Redick,SG,DAL,13.0137,36
Dwight Powell,C,DAL,11.080125,29
Josh Richardson,SG,DAL,10.865952,27
Maxi Kleber,PF,DAL,8.15,28
Luka Doncic,PG,DAL,8.04936,21
Willie Cauley-Stein,C,DAL,4.1,27
Dorian Finney-Smith,SF,DAL,4.0,27
Nicolo Melli,PF,DAL,3.897436,29
Boban Marjanovic,C,DAL,3.5,32
Trey Burke,PG,DAL,3.0,27
Josh Green,SG,DAL,2.81676,19
Jalen Brunson,PG,DAL,1.663861,24
Tyrell Terry,PG,DAL,1.289846,20
Nikola Jokic,C,DEN,28.542009,25
Jamal Murray,PG,DEN,27.285,23
Aaron Gordon,PF,DEN,18.136364,25
Will Barton,SF,DEN,13.723214,29
Paul Millsap,PF,DEN,10.0,35
JaMychal Green,PF,DEN,7.19976,30
JaVale McGee,C,DEN,4.2,32
Jr. Michael Porter Jr.,SF,DEN,3.5508,22
Facundo Campazzo,PG,DEN,3.1,0
Zeke Nnaji,PF,DEN,2.37984,19
Bol Bol,C,DEN,2.05824,20
P.J. Dozier,PG,DEN,1.762796,23
Monte Morris,PG,DEN,1.723707,25
Vlatko Cancar,SF,DEN,1.517981,23
Austin Rivers,PG,DEN,0.270142,28
Austin Rivers,PG,DEN,0.158907,28
Jerami Grant,PF,DET,19.05,26
Cory Joseph,PG,DET,12.6,29
Mason Plumlee,PF,DET,8.0,30
Jr. Dennis Smith Jr.,PG,DET,5.686677,22
Killian Hayes,PG,DET,5.30712,19
Rodney McGruder,SG,DET,5.192307,29
Josh Jackson,SG,DET,4.767,23
Sekou Doumbouya,SF,DET,3.4494,19
Isaiah Stewart,C,DET,3.12108,19
Saddiq Bey,SG,DET,2.68992,21
Wayne Ellington,SG,DET,2.564753,32
Jahlil Okafor,C,DET,1.882867,24
Hamidou Diallo,SG,DET,1.663861,22
Deividas Sirvydis,SF,DET,0.89831,20
Tyler Cook,PF,DET,0.396081,23
Tyler Cook,PF,DET,0.09902,23
Tyler Cook,PF,DET,0.09902,23
Stephen Curry,PG,GSW,43.006362,32
Klay Thompson,SG,GSW,35.36136,30
Andrew Wiggins,SF,GSW,29.54201,25
Draymond Green,PF,GSW,22.246956,30
Jr. Kelly Oubre Jr.,SF,GSW,14.375,24
James Wiseman,C,GSW,8.73024,19
Kevon Looney,PF,GSW,4.821429,24
Kent Bazemore,SG,GSW,2.320044,31
Jordan Poole,SG,GSW,2.06328,21
Damion Lee,SG,GSW,1.762796,27
Mychal Mulder,G,GSW,1.517981,26
Eric Paschall,PF,GSW,1.517981,23
Alen Smailagic,PF,GSW,1.517981,20
Juan Toscano-Anderson,SF,GSW,0.358295,27
II Gary Payton II,PG,GSW,0.118983,27
II Gary Payton II,PG,GSW,0.118983,27
II Gary Payton II,PG,GSW,0.011898,27
John Wall,PG,HOU,41.25492,30
Eric Gordon,SG,HOU,16.869276,31
Christian Wood,PF,HOU,13.015874,25
Kelly Olynyk,PF,HOU,12.198243,29
Dante Exum,PG,HOU,9.1,25
D.J. Augustin,PG,HOU,6.666667,32
Avery Bradley,PG,HOU,5.635,29
DJ Wilson,PF,HOU,4.54828,24
Danuel House,SF,HOU,3.717,27
David Nwaba,SG,HOU,1.824003,27
Jr. Kevin Porter Jr.,SG,HOU,1.717981,20
Sterling Brown,SG,HOU,1.678854,25
Jae’Sean Tate,SF,HOU,1.445697,24
Jr. Kenyon Martin Jr.,SF,HOU,0.89831,19
Khyri Thomas,SG,HOU,0.25,24
Khyri Thomas,SG,HOU,0.110998,24
Mason Jones,SG,HOU,0.061528,22
Cameron Oliver,PF,HOU,0.04307,24
Cam Reynolds,F,HOU,0.033299,25
Malcolm Brogdon,PG,IND,20.7,27
Domantas Sabonis,PF,IND,18.5,24
Myles Turner,C,IND,17.5,24
Caris LeVert,SG,IND,16.203704,26
T.J. Warren,SF,IND,11.75,27
Jeremy Lamb,SG,IND,10.5,28
Doug McDermott,SF,IND,7.333333,28
Justin Holiday,SF,IND,5.7204,31
T.J. McConnell,PG,IND,3.5,28
Goga Bitadze,C,IND,2.95752,21
Aaron Holiday,PG,IND,2.34564,24
Edmond Sumner,PG,IND,2.16,24
JaKarr Sampson,SF,IND,1.882867,27
Kelan Martin,SF,IND,1.445697,25
Oshae Brissett,SF,IND,0.757453,22
Oshae Brissett,SF,IND,0.09902,22
Oshae Brissett,SF,IND,0.09902,22
Paul George,SG,LAC,35.450412,30
Kawhi Leonard,SF,LAC,34.3791,29
Sr. Marcus Morris Sr.,SF,LAC,14.883721,31
Patrick Beverley,PG,LAC,13.333333,32
Serge Ibaka,C,LAC,9.258,31
Rajon Rondo,PG,LAC,7.5,34
Ivica Zubac,C,LAC,7.0,23
Luke Kennard,SG,LAC,5.273826,24
Patrick Patterson,PF,LAC,3.077704,31
Nicolas Batum,SF,LAC,2.564753,31
Reggie Jackson,PG,LAC,2.331593,30
Terance Mann,SG,LAC,1.517981,23
Daniel Oturu,C,LAC,0.89831,21
DeMarcus Cousins,C,LAC,0.335366,30
Yogi Ferrell,PG,LAC,0.214169,27
DeMarcus Cousins,C,LAC,0.159698,30
DeMarcus Cousins,C,LAC,0.159698,30
Yogi Ferrell,PG,LAC,0.118983,27
Malik Fitts,PF,LAC,0.061528,23
LeBron James,SF,LAL,39.219566,35
Anthony Davis,PF,LAL,32.742,27
Dennis Schröder,PG,LAL,15.5,27
Kentavious Caldwell-Pope,SG,LAL,12.07302,27
Montrezl Harrell,PF,LAL,9.258,26
Wesley Matthews,SG,LAL,3.623,33
Kyle Kuzma,PF,LAL,3.562178,25
Alex Caruso,SG,LAL,2.75,26
Marc Gasol,C,LAL,2.564753,35
Jared Dudley,SF,LAL,2.564753,35
Markieff Morris,PF,LAL,2.331593,31
Alfonzo McKinnie,SF,LAL,1.762796,28
Talen Horton-Tucker,SG,LAL,1.517981,19
Andre Drummond,C,LAL,0.794536,27
Ben McLemore,SF,LAL,0.569674,27
Damian Jones,C,LAL,0.118983,25
Damian Jones,C,LAL,0.118983,25
Jonas Valanciunas,C,MEM,15.0,28
Justise Winslow,SF,MEM,13.0,24
Dillon Brooks,SG,MEM,11.4,24
De'Anthony Melton,SG,MEM,9.571712,22
Kyle Anderson,SF,MEM,9.5051,27
Ja Morant,PG,MEM,9.1668,21
Tyus Jones,PG,MEM,7.9651,24
Jr. Jaren Jackson Jr.,PF,MEM,7.25736,21
Brandon Clarke,SF,MEM,2.60292,24
Grayson Allen,SG,MEM,2.54532,24
John Konchar,SG,MEM,2.1,24
Desmond Bane,SG,MEM,1.93644,22
Jontay Porter,PF,MEM,1.9,20
Xavier Tillman,PF,MEM,1.3,21
Tim Frazier,PG,MEM,0.296616,29
Tim Frazier,PG,MEM,0.128963,29
Tim Frazier,PG,MEM,0.128963,29
Jimmy Butler,SF,MIA,34.3791,31
Victor Oladipo,SG,MIA,21.0,28
Goran Dragic,PG,MIA,18.0,34
Andre Iguodala,SF,MIA,15.0,36
Trevor Ariza,SF,MIA,12.8,35
Nemanja Bjelica,PF,MIA,7.15,32
Edrice Adebayo,PF,MIA,5.115492,23
Tyler Herro,SG,MIA,3.82224,20
Precious Achiuwa,PF,MIA,2.58216,21
Udonis Haslem,PF,MIA,2.564753,40
Kendrick Nunn,SG,MIA,1.663861,25
Duncan Robinson,PF,MIA,1.663861,26
KZ Okpala,SF,MIA,1.517981,21
Dewayne Dedmon,C,MIA,0.580811,31
Omer Yurtseven,C,MIA,0.018458,22
Khris Middleton,SF,MIL,33.051724,29
Giannis Antetokounmpo,PF,MIL,27.528088,25
Jrue Holiday,SG,MIL,25.111111,30
Brook Lopez,C,MIL,12.697675,32
P.J. Tucker,PF,MIL,7.969537,35
Pat Connaughton,SG,MIL,4.938273,27
Bobby Portis,PF,MIL,3.623,25
Donte DiVincenzo,SG,MIL,3.04416,23
Bryn Forbes,SG,MIL,2.337145,27
Thanasis Antetokounmpo,SF,MIL,1.701593,28
Sam Merrill,SG,MIL,0.89831,24
Jordan Nwora,PF,MIL,0.89831,22
Jeff Teague,PG,MIL,0.808073,32
Mamadi Diakite,PF,MIL,0.160173,23
Elijah Bryant,SG,MIL,0.024611,25
Karl-Anthony Towns,C,MIN,29.4678,24
D'Angelo Russell,SG,MIN,28.64925,24
Ricky Rubio,PG,MIN,17.0,29
Malik Beasley,SG,MIN,13.325895,23
Anthony Edwards,SG,MIN,9.75744,19
Jarrett Culver,SG,MIN,6.10428,21
Juan Hernangomez,PF,MIN,5.718,25
Ed Davis,C,MIN,5.00535,31
Jake Layman,SF,MIN,3.761085,26
Josh Okogie,SF,MIN,2.65104,22
Jaden McDaniels,PF,MIN,1.96476,20
Jarred Vanderbilt,PF,MIN,1.663861,21
Jaylen Nowell,SG,MIN,1.517981,21
Naz Reid,C,MIN,1.517981,21
Steven Adams,C,NOP,27.528088,27
Brandon Ingram,SF,NOP,27.285,23
Eric Bledsoe,PG,NOP,16.875,30
James Johnson,PF,NOP,15.7941,33
Lonzo Ball,PG,NOP,11.003782,22
Zion Williamson,PF,NOP,10.24548,20
Jaxson Hayes,C,NOP,5.10516,20
Jr. Kira Lewis Jr.,PG,NOP,3.6402,19
Josh Hart,SG,NOP,3.491159,25
Nickeil Alexander-Walker,SG,NOP,3.11316,22
Willy Hernangomez,C,NOP,1.737145,26
Wesley Iwundu,SF,NOP,1.678854,25
Wenyen Gabriel,PF,NOP,1.620564,23
Isaiah Thomas,PG,NOP,0.158907,31
Didi Louzada,SF,NOP,0.123056,21
Naji Marshall,SF,NOP,0.12,22
Sindarius Thornwell,SG,NOP,0.11499,25
Sindarius Thornwell,SG,NOP,0.11499,25
Julius Randle,PF,NYK,18.9,25
R.J. Barrett,SG,NYK,8.23176,20
Derrick Rose,PG,NYK,7.682927,31
Frank Ntilikina,PG,NYK,6.176578,22
Alec Burks,SG,NYK,6.0,29
Nerlens Noel,C,NYK,5.0,26
Obi Toppin,PF,NYK,4.86204,22
Elfrid Payton,PG,NYK,4.767,26
Kevin Knox,SF,NYK,4.58868,21
Reggie Bullock,SF,NYK,4.2,29
Luca Vildoza,PG,NYK,3.5,25
Taj Gibson,PF,NYK,2.283684,35
Immanuel Quickley,SG,NYK,2.10552,21
Mitchell Robinson,C,NYK,1.663861,22
Norvel Pelle,PF,NYK,0.5,27
John Henson,PF,NYK,0.158907,29
Jared Harper,PG,NYK,0.09902,23
Norvel Pelle,PF,NYK,0.09902,27
Norvel Pelle,PF,NYK,0.09902,27
Al Horford,PF,OKC,27.5,34
Shai Gilgeous-Alexander,PG,OKC,4.14132,22
Gabriel Deck,F,OKC,3.87037,25
Tony Bradley,C,OKC,3.54206,22
Aleksej Pokusevski,PF,OKC,2.96484,18
Darius Bazley,SF,OKC,2.39916,20
Ty Jerome,PG,OKC,2.30304,23
Mike Muscala,PF,OKC,2.283034,29
Theo Maledon,PG,OKC,2.0,19
Kenrich Williams,SF,OKC,2.0,25
Sviatoslav Mykhailiuk,SG,OKC,1.663861,23
Luguentz Dort,SG,OKC,1.517981,21
Isaiah Roby,SF,OKC,1.517981,22
Moses Brown,C,OKC,1.25,20
Jr. Charlie Brown Jr.,SG,OKC,0.09902,22
Jr. Charlie Brown Jr.,SG,OKC,0.09902,22
Justin Robinson,PG,OKC,0.09902,22
Justin Robinson,PG,OKC,0.09902,22
Jr. Charlie Brown Jr.,SG,OKC,0.019804,22
Jr. Otto Porter Jr.,SF,ORL,28.489238,27
Gary Harris,SG,ORL,19.160714,26
Terrence Ross,SG,ORL,13.5,29
Markelle Fultz,PG,ORL,12.288697,22
Jonathan Isaac,PF,ORL,7.362566,22
Mohamed Bamba,C,ORL,5.96904,22
Jr. Wendell Carter Jr.,C,ORL,5.44884,21
Michael Carter-Williams,PG,ORL,3.3,28
III James Ennis III,SF,ORL,3.3,30
Cole Anthony,PG,ORL,3.28512,20
Chuma Okeke,PF,ORL,3.12108,22
RJ Hampton,PG,ORL,2.19348,19
Dwayne Bacon,SG,ORL,1.678854,25
Moritz Wagner,C,ORL,0.221995,23
Ignas Brazdeikis,SF,ORL,0.09902,21
Robert Franks,SF,ORL,0.09902,0
Robert Franks,SF,ORL,0.09902,0
Donta Hall,PF,ORL,0.09902,23
Donta Hall,PF,ORL,0.09902,23
Donta Hall,PF,ORL,0.079216,23
Devin Cannady,PG,ORL,0.061528,24
Ignas Brazdeikis,SF,ORL,0.04951,21
Tobias Harris,SF,PHI,34.35885,28
Ben Simmons,PG,PHI,30.5592,24
Joel Embiid,C,PHI,29.54201,26
Danny Green,SG,PHI,15.365854,33
George Hill,PG,PHI,9.590602,34
Seth Curry,SG,PHI,7.834449,30
Mike Scott,PF,PHI,5.00535,32
Matisse Thybulle,SG,PHI,2.71128,23
Dwight Howard,C,PHI,2.564753,34
Tyrese Maxey,PG,PHI,2.47884,19
Furkan Korkmaz,SG,PHI,1.762796,23
Shake Milton,SG,PHI,1.701593,24
Isaiah Joe,SG,PHI,0.89831,21
Paul Reed,PF,PHI,0.609128,21
Anthony Tolliver,PF,PHI,0.263502,35
Anthony Tolliver,PF,PHI,0.175668,35
Anthony Tolliver,PF,PHI,0.175668,35
Chris Paul,PG,PHX,41.358814,35
Devin Booker,SG,PHX,29.4678,23
Deandre Ayton,C,PHX,10.0182,22
Jae Crowder,SF,PHX,9.258,30
Dario Saric,PF,PHX,9.25,26
Mikal Bridges,SF,PHX,4.359,24
Jalen Smith,PF,PHX,4.24572,20
Cameron Johnson,SF,PHX,4.23516,24
Jevon Carter,PG,PHX,3.925,25
E'Twaun Moore,SG,PHX,2.331593,31
Langston Galloway,SG,PHX,2.028594,28
Cameron Payne,PG,PHX,1.977011,26
Frank Kaminsky,C,PHX,1.882867,27
Abdel Nader,SF,PHX,1.75295,27
Torrey Craig,SF,PHX,1.678854,29
Damian Lillard,PG,POR,31.626953,30
C.J. McCollum,SG,POR,29.354152,29
Jusuf Nurkic,C,POR,12.888889,26
Robert Covington,PF,POR,12.138345,29
Norman Powell,SG,POR,10.865952,27
Jr. Derrick Jones Jr.,SF,POR,9.258,23
Zach Collins,C,POR,5.406255,22
Enes Kanter,C,POR,5.00535,28
Carmelo Anthony,PF,POR,2.564753,36
Anfernee Simons,SG,POR,2.25204,21
Nassir Little,SF,POR,2.21064,20
Harry Giles,C,POR,1.678854,22
CJ Elleby,SF,POR,0.89831,20
Rondae Hollis-Jefferson,SF,POR,0.245031,25
Rondae Hollis-Jefferson,SF,POR,0.128963,25
Rondae Hollis-Jefferson,SF,POR,0.128963,25
Buddy Hield,SG,SAC,24.201834,27
Harrison Barnes,SF,SAC,22.215909,28
Delon Wright,PG,SAC,9.0,28
III Marvin Bagley III,PF,SAC,8.96364,21
De'Aaron Fox,PG,SAC,8.099627,22
Richaun Holmes,C,SAC,5.00535,26
Tyrese Haliburton,PG,SAC,3.83184,20
Maurice Harkless,SF,SAC,3.623,27
Hassan Whiteside,C,SAC,2.320044,31
Terence Davis,SG,SAC,1.517981,23
Justin James,SG,SAC,1.517981,23
II Robert Woodard II,SG,SAC,1.5,21
Jahmi'us Ramsey,SG,SAC,1.0,19
Chimezie Metu,PF,SAC,0.7,23
Damian Jones,C,SAC,0.237965,25
Damian Jones,C,SAC,0.118983,25
Damian Jones,C,SAC,0.118983,25
Norvel Pelle,PF,SAC,0.09902,27
DeMar DeRozan,SG,SAS,27.739975,31
Dejounte Murray,PG,SAS,14.286,24
Rudy Gay,SF,SAS,14.0,34
Patrick Mills,PG,SAS,13.285714,32
Jakob Poeltl,C,SAS,8.101852,24
Trey Lyles,PF,SAS,5.5,24
Devin Vassell,SG,SAS,4.03344,20
Derrick White,PG,SAS,3.516284,26
IV Lonnie Walker IV,SG,SAS,2.892,21
Luka Samanic,PF,SAS,2.82432,20
Keldon Johnson,SG,SAS,2.04804,20
Drew Eubanks,PF,SAS,1.620564,23
DaQuan Jeffries,SG,SAS,1.445697,23
Gorgui Dieng,C,SAS,1.0,30
Tre Jones,PG,SAS,0.89831,20
Cam Reynolds,F,SAS,0.110998,25
Pascal Siakam,PF,TOR,30.5592,26
Kyle Lowry,PG,TOR,30.0,34
Fred VanVleet,PG,TOR,21.25,26
Rodney Hood,SF,TOR,10.04745,27
Aron Baynes,C,TOR,7.0,33
Chris Boucher,PF,TOR,6.5,27
OG Anunoby,SF,TOR,3.872215,23
Stanley Johnson,SF,TOR,3.80415,24
Malachi Flynn,PG,TOR,1.9506,22
DeAndre' Bembry,SF,TOR,1.737145,26
Jr. Gary Trent Jr.,SG,TOR,1.663861,21
Paul Watson,SG,TOR,1.445697,25
Khem Birch,PF,TOR,0.425463,28
Yuta Watanabe,SF,TOR,0.321893,25
Henry Ellenson,C,TOR,0.118983,23
Freddie Gillespie,PF,TOR,0.116903,23
Donta Hall,PF,TOR,0.09902,23
Freddie Gillespie,PF,TOR,0.061528,23
Freddie Gillespie,PF,TOR,0.061528,23
Mike Conley,PG,UTH,34.502132,32
Rudy Gobert,C,UTH,25.775281,28
Bojan Bogdanovic,SF,UTH,17.661,31
Jordan Clarkson,PG,UTH,11.5,28
Joe Ingles,SF,UTH,10.363637,32
Derrick Favors,C,UTH,9.258,29
Royce O'Neale,SF,UTH,8.5,27
Donovan Mitchell,SG,UTH,5.195501,24
Udoka Azubuike,C,UTH,1.977,21
Georges Niang,SF,UTH,1.783557,27
Juwan Morgan,SF,UTH,1.517981,23
Miye Oni,SG,UTH,1.517981,23
Matt Thomas,SG,UTH,1.517981,26
